OrderID,Customer,Product,Category,Quantity,Price,OrderDate
1,Olivia Davis,Basketball,Sports,1,6026.24,2024-12-29
2,Sophia Martinez,Smartphone,Electronics,6,8831.31,2025-04-19
3,Jane Smith,Jeans,Clothing,7,9035.21,2024-03-14
4,Mike Brown,Smartphone,Electronics,9,6043.8,2023-09-02
5,Emma Wilson,Novel,Books,5,6274.0,2024-07-24
6,Alice Johnson,Laptop,Electronics,7,6993.11,2025-03-21
7,Mike Brown,Smartphone,Electronics,2,3665.14,2024-08-13
8,Emma Wilson,Basketball,Sports,7,3552.76,2024-08-03
9,Liam Miller,Cookbook,Books,6,8603.71,2024-08-18
10,Alice Johnson,Football,Sports,8,9214.91,2024-06-27
11,John Doe,Football,Sports,4,3103.67,2024-10-27
12,Olivia Davis,Vacuum Cleaner,Home,4,7502.86,2024-12-22
13,John Doe,Cookbook,Books,2,706.84,2023-05-24
14,Jane Smith,Smartphone,Electronics,9,5961.2,2024-01-04
15,Jane Smith,Smartphone,Electronics,1,9391.13,2023-11-05
16,Chris Lee,Novel,Books,7,2986.35,2024-06-07
17,John Doe,Coffee Maker,Home,9,1039.12,2024-12-26
18,John Doe,Laptop,Electronics,10,6264.57,2023-10-12
19,Emma Wilson,Basketball,Sports,2,3176.16,2025-03-30
20,Alice Johnson,Jeans,Clothing,10,6110.24,2023-05-28
21,Emma Wilson,Football,Sports,3,4674.59,2024-07-19
22,Mike Brown,Football,Sports,6,6197.06,2024-05-12
23,Emma Wilson,Novel,Books,4,2603.86,2023-06-10
24,Noah Garcia,Smartphone,Electronics,8,8390.8,2024-01-28
25,Olivia Davis,T-shirt,Clothing,3,3828.53,2023-07-30
26,Mike Brown,Basketball,Sports,9,283.26,2024-05-19
27,John Doe,Coffee Maker,Home,3,7448.97,2024-03-12
28,Emma Wilson,Coffee Maker,Home,4,8286.07,2023-07-30
29,John Doe,Cookbook,Books,7,2665.8,2024-05-28
30,Olivia Davis,Vacuum Cleaner,Home,2,1345.69,2025-01-14
31,Liam Miller,Smartphone,Electronics,3,8152.97,2024-02-07
32,John Doe,Cookbook,Books,7,822.46,2024-10-04
33,Emma Wilson,T-shirt,Clothing,10,5508.54,2025-02-14
34,Olivia Davis,Coffee Maker,Home,2,1876.39,2024-11-11
35,Olivia Davis,Laptop,Electronics,10,1201.46,2024-03-23
36,Emma Wilson,Coffee Maker,Home,8,1484.58,2024-08-11
37,Liam Miller,Basketball,Sports,10,3255.01,2023-12-10
38,Jane Smith,Basketball,Sports,10,5877.93,2023-07-21
39,Liam Miller,Jeans,Clothing,1,5284.66,2024-01-28
40,Jane Smith,Cookbook,Books,10,4102.14,2025-04-07
41,Mike Brown,Basketball,Sports,6,1286.68,2024-08-31
42,Liam Miller,Vacuum Cleaner,Home,1,2991.73,2024-04-03
43,Alice Johnson,Cookbook,Books,7,2441.59,2024-05-01
44,Noah Garcia,Football,Sports,2,4046.14,2023-07-27
45,Liam Miller,Football,Sports,6,4876.09,2023-06-15
46,Noah Garcia,Football,Sports,4,1071.77,2024-09-18
47,Noah Garcia,Vacuum Cleaner,Home,5,3493.71,2023-05-04
48,Noah Garcia,Novel,Books,1,9692.12,2024-08-30
49,Alice Johnson,T-shirt,Clothing,8,4994.5,2024-09-13
50,Liam Miller,Coffee Maker,Home,8,4859.68,2023-05-21
51,Alice Johnson,Football,Sports,3,6935.22,2025-01-09
52,John Doe,Jeans,Clothing,3,5373.8,2024-10-22
53,Chris Lee,Jeans,Clothing,5,230.91,2024-11-12
54,Noah Garcia,Jeans,Clothing,7,9608.56,2023-05-11
55,Emma Wilson,Jeans,Clothing,9,4708.26,2024-10-23
56,Alice Johnson,Jeans,Clothing,2,7225.77,2024-07-24
57,Mike Brown,T-shirt,Clothing,9,1131.89,2025-04-05
58,John Doe,Novel,Books,3,8668.28,2023-11-09
59,John Doe,Vacuum Cleaner,Home,4,5412.85,2023-07-10
60,Olivia Davis,Laptop,Electronics,7,9240.0,2024-03-06
61,Olivia Davis,Football,Sports,2,4162.72,2024-09-29
62,Noah Garcia,Football,Sports,6,5682.74,2023-12-03
63,Chris Lee,Laptop,Electronics,5,1634.1,2024-07-26
64,Chris Lee,Smartphone,Electronics,8,1496.5,2024-03-05
65,Chris Lee,T-shirt,Clothing,10,9981.18,2025-02-26
66,Mike Brown,Jeans,Clothing,10,497.11,2023-10-31
67,Alice Johnson,Novel,Books,5,5957.79,2023-06-27
68,Chris Lee,Basketball,Sports,6,5099.89,2024-11-15
69,Sophia Martinez,Jeans,Clothing,1,7729.32,2024-01-01
70,Jane Smith,Football,Sports,5,6329.95,2025-01-07
71,Emma Wilson,Laptop,Electronics,5,8349.07,2023-10-31
72,Jane Smith,Vacuum Cleaner,Home,1,6342.7,2023-04-28
73,Chris Lee,Novel,Books,8,3547.79,2024-01-05
74,Liam Miller,Jeans,Clothing,6,7513.77,2024-11-28
75,Jane Smith,Cookbook,Books,1,4908.47,2023-08-26
76,Olivia Davis,Cookbook,Books,1,1175.59,2024-01-12
77,Emma Wilson,Novel,Books,9,3090.6,2024-06-12
78,Noah Garcia,Vacuum Cleaner,Home,6,8879.75,2023-09-05
79,Liam Miller,Coffee Maker,Home,4,3274.34,2025-01-28
80,Alice Johnson,Coffee Maker,Home,1,3900.03,2024-05-07
81,Alice Johnson,Smartphone,Electronics,5,5118.07,2023-06-17
82,Chris Lee,Cookbook,Books,9,7977.22,2025-02-15
83,Jane Smith,Smartphone,Electronics,7,6305.8,2024-11-18
84,Jane Smith,T-shirt,Clothing,10,3782.27,2025-03-09
85,Noah Garcia,Basketball,Sports,5,1620.72,2023-09-02
86,Chris Lee,Jeans,Clothing,3,7402.16,2023-07-28
87,Mike Brown,Football,Sports,8,3859.17,2025-01-15
88,Sophia Martinez,Laptop,Electronics,6,8240.11,2024-01-08
89,Liam Miller,T-shirt,Clothing,5,9654.38,2024-09-06
90,Alice Johnson,Jeans,Clothing,6,5869.41,2023-10-15
91,Mike Brown,Coffee Maker,Home,7,8361.8,2023-10-08
92,Alice Johnson,T-shirt,Clothing,3,6460.0,2024-06-23
93,Sophia Martinez,Laptop,Electronics,3,5350.51,2024-05-07
94,Sophia Martinez,Jeans,Clothing,5,796.76,2024-10-23
95,Mike Brown,Novel,Books,2,4398.98,2025-03-26
96,Olivia Davis,Vacuum Cleaner,Home,8,8840.11,2024-10-24
97,Noah Garcia,Jeans,Clothing,9,8447.23,2023-06-17
98,Olivia Davis,Vacuum Cleaner,Home,3,9805.59,2024-10-29
99,Sophia Martinez,Novel,Books,3,9275.07,2025-02-15
100,Chris Lee,Smartphone,Electronics,7,9866.71,2024-06-12
101,Alice Johnson,Vacuum Cleaner,Home,8,4214.68,2023-08-16
102,Emma Wilson,Coffee Maker,Home,4,3312.49,2023-04-27
103,Noah Garcia,Jeans,Clothing,9,2968.27,2025-03-14
104,Alice Johnson,T-shirt,Clothing,8,9414.39,2024-04-30
105,Liam Miller,Laptop,Electronics,3,4113.98,2025-03-02
106,John Doe,Vacuum Cleaner,Home,9,6388.66,2024-08-22
107,Sophia Martinez,Jeans,Clothing,4,6482.75,2025-04-08
108,Noah Garcia,Jeans,Clothing,4,4532.54,2024-02-02
109,Liam Miller,Novel,Books,2,178.66,2024-11-26
110,Jane Smith,Football,Sports,7,451.06,2024-08-04
111,Emma Wilson,Football,Sports,5,1153.25,2024-01-15
112,John Doe,Vacuum Cleaner,Home,1,8769.96,2025-01-24
113,Mike Brown,Vacuum Cleaner,Home,6,7781.67,2023-07-03
114,Mike Brown,T-shirt,Clothing,3,3465.41,2024-11-10
115,Noah Garcia,Vacuum Cleaner,Home,8,5628.07,2024-12-19
116,Mike Brown,Vacuum Cleaner,Home,5,7083.46,2024-09-11
117,John Doe,T-shirt,Clothing,9,2041.83,2023-12-05
118,Alice Johnson,T-shirt,Clothing,7,107.9,2024-08-19
119,John Doe,Cookbook,Books,9,4558.8,2023-07-27
120,Noah Garcia,Basketball,Sports,8,9128.8,2025-04-16
121,Sophia Martinez,Smartphone,Electronics,8,5607.36,2024-09-21
122,Chris Lee,Jeans,Clothing,6,8095.21,2024-01-27
123,Mike Brown,Jeans,Clothing,10,3276.84,2023-08-06
124,John Doe,Smartphone,Electronics,7,456.08,2023-07-29
125,John Doe,Coffee Maker,Home,9,5794.04,2024-09-12
126,Noah Garcia,Novel,Books,10,4057.83,2023-06-18
127,Chris Lee,Laptop,Electronics,7,8272.28,2024-01-23
128,Emma Wilson,Laptop,Electronics,10,3220.29,2024-10-16
129,Noah Garcia,Basketball,Sports,10,7033.37,2025-03-04
130,Olivia Davis,Smartphone,Electronics,2,4140.31,2024-02-18
131,Emma Wilson,Basketball,Sports,5,4898.44,2024-05-18
132,Noah Garcia,T-shirt,Clothing,2,4345.48,2025-01-21
133,Olivia Davis,Coffee Maker,Home,2,7600.92,2024-12-09
134,John Doe,Coffee Maker,Home,2,7664.86,2024-09-10
135,Olivia Davis,Cookbook,Books,7,4762.39,2025-04-16
136,Noah Garcia,Smartphone,Electronics,6,3737.05,2025-04-25
137,Olivia Davis,Football,Sports,2,7417.26,2024-12-24
138,Mike Brown,Laptop,Electronics,9,2708.25,2024-07-15
139,Alice Johnson,Smartphone,Electronics,6,4972.77,2024-12-03
140,Alice Johnson,Basketball,Sports,9,9443.92,2023-11-09
141,Sophia Martinez,Jeans,Clothing,3,1377.89,2025-03-11
142,Alice Johnson,Smartphone,Electronics,10,6990.15,2024-07-12
143,Sophia Martinez,T-shirt,Clothing,9,5154.53,2023-05-31
144,Liam Miller,T-shirt,Clothing,10,1385.1,2025-02-13
145,Sophia Martinez,T-shirt,Clothing,5,7949.6,2023-10-06
146,Alice Johnson,Vacuum Cleaner,Home,7,7718.47,2023-05-14
147,Olivia Davis,Smartphone,Electronics,10,2042.07,2025-02-02
148,Emma Wilson,Basketball,Sports,10,3215.99,2023-09-22
149,Alice Johnson,Novel,Books,3,2743.32,2024-02-26
150,Emma Wilson,Laptop,Electronics,7,1593.76,2025-01-07
151,Liam Miller,Vacuum Cleaner,Home,5,2556.26,2023-06-19
152,Emma Wilson,Jeans,Clothing,9,5823.76,2025-01-15
153,Liam Miller,Smartphone,Electronics,8,3229.14,2024-08-06
154,Chris Lee,Coffee Maker,Home,7,4460.42,2025-02-02
155,John Doe,Novel,Books,2,5008.84,2024-11-21
156,Emma Wilson,Smartphone,Electronics,10,2953.44,2025-03-02
157,Olivia Davis,Cookbook,Books,1,1314.42,2024-05-04
158,Jane Smith,Laptop,Electronics,1,335.57,2024-10-25
159,Olivia Davis,Laptop,Electronics,8,2387.68,2023-11-16
160,Emma Wilson,Football,Sports,9,186.18,2024-07-09
161,Olivia Davis,Coffee Maker,Home,1,2692.51,2025-01-29
162,Chris Lee,Laptop,Electronics,4,5504.98,2023-12-25
163,Mike Brown,Novel,Books,8,190.85,2025-02-27
164,Liam Miller,Coffee Maker,Home,7,7496.0,2023-07-28
165,Liam Miller,Smartphone,Electronics,7,8635.52,2024-03-09
166,Olivia Davis,Coffee Maker,Home,4,654.66,2023-07-18
167,Olivia Davis,Laptop,Electronics,6,5778.36,2023-07-24
168,Olivia Davis,Cookbook,Books,8,3653.57,2024-03-15
169,Alice Johnson,Basketball,Sports,10,7105.54,2024-01-01
170,John Doe,Cookbook,Books,5,9568.57,2023-08-02
171,Chris Lee,T-shirt,Clothing,1,8051.63,2023-11-23
172,Noah Garcia,Vacuum Cleaner,Home,10,1926.35,2025-04-08
173,Chris Lee,T-shirt,Clothing,7,5629.61,2024-02-22
174,Emma Wilson,T-shirt,Clothing,5,3660.76,2025-03-15
175,Olivia Davis,Cookbook,Books,2,9814.33,2024-04-10
176,Liam Miller,Smartphone,Electronics,8,7170.39,2023-05-31
177,Emma Wilson,Football,Sports,4,7031.65,2023-08-14
178,John Doe,Vacuum Cleaner,Home,6,7844.06,2024-07-19
179,Chris Lee,Cookbook,Books,3,7276.64,2024-01-23
180,Jane Smith,Laptop,Electronics,6,989.84,2023-08-11
181,Sophia Martinez,Jeans,Clothing,8,2552.56,2024-08-06
182,Liam Miller,Smartphone,Electronics,4,3756.85,2025-03-08
183,Chris Lee,Laptop,Electronics,6,1557.44,2024-02-25
184,Noah Garcia,Jeans,Clothing,3,2742.09,2023-09-21
